Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,3000.0,1020.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,3000.0,1008.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,3000.0,1086.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,3000.0,1128.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,3000.0,1032.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,3000.0,1014.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,3000.0,1008.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,0.0,3000.0,1044.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,3000.0,1104.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,3000.0,1056.0
10,0.00011725275,0.0,0.0,0.0,0.0,0.0,1049.99988626483,0.0,3000.0,1050.00000351758
11,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,3000.0,1050.0
12,0.00016228725,0.0,0.0,0.0,0.0,0.0,1097.99984258137,0.0,3000.0,1098.0000048686202
13,0.00027462525,0.0,0.0,0.0,0.0,0.0,1109.99973361351,0.0,3000.0,1110.00000823876
14,8.94615e-05,0.0,0.0,0.0,0.0,0.0,1097.99991322234,0.0,3000.0,1098.00000268384
15,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,3000.0,1128.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,3000.0,1194.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1158.0,0.0,3000.0,1158.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,3000.0,1368.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,3000.0,1446.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,3000.0,1446.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,3000.0,1464.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,3000.0,1524.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,3000.0,1488.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,3000.0,1536.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,3000.0,1548.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,3000.0,1518.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,3000.0,1584.0
