Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
2016,0.0,0.0,0.0,0.0,0.0,0.0,2526.0,0.0,2400.0,2526.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,2472.0,0.0,2400.0,2472.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,2346.0,0.0,2400.0,2346.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,2352.0,0.0,2400.0,2352.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,2436.0,0.0,2400.0,2436.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,2412.0,0.0,2400.0,2412.0
2022,16.59555,0.0,0.0,0.0,0.0,0.0,2449.9023165,0.0,2400.0,2466.4978665
2023,50.9457,0.0,0.0,0.0,672.104467353951,0.0,1799.835471,0.0,1630.12088504702,2522.885638353951
2024,2290.92,0.0,0.0,0.0,375.495532646049,0.0,0.0,0.0,1200.0,2666.415532646049
2025,2573.19587628866,1176.69912371134,0.0,0.0,0.0,0.0,0.0,0.0,2170.1884275,2573.19587628866
2026,2579.38144329897,319.458556701031,0.0,0.0,0.0,0.0,0.0,0.0,2433.5820075,2579.38144329897
2027,2573.19587628866,1862.61912371134,0.0,0.0,0.0,0.0,0.0,0.0,3969.311475,2573.19587628866
2028,2536.0824742268,2531.5475257732,0.0,0.0,0.0,0.0,0.0,0.0,6056.57241,2536.0824742268
2029,2635.05154639175,3801.64345360825,0.0,0.0,0.0,0.0,0.0,0.0,9191.0274375,2635.05154639175
2030,2591.75257731959,1238.45242268041,0.0,0.0,0.0,0.0,0.0,0.0,10212.13146,2591.75257731959
2031,2579.38144329897,1585.44355670103,0.0,0.0,0.0,0.0,0.0,0.0,11519.3296725,2579.38144329897
2032,2323.635,0.0,0.0,0.0,167.324226804123,0.0,0.0,0.0,11327.6638915102,2490.9592268041233
2033,596.982,0.0,0.0,0.0,1900.26054982818,0.0,0.0,0.0,9150.96223076769,2497.24254982818
2034,0.0,0.0,0.0,0.0,2467.35395189003,0.0,0.0,0.0,6324.66904418117,2467.35395189003
2035,0.0,0.0,0.0,0.0,2542.95532646048,0.0,0.0,0.0,3411.77634491373,2542.95532646048
2036,0.0,0.0,0.0,0.0,0.0,0.0,2136.0,0.0,3411.77634491373,2136.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,3411.77634491373,2220.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,2208.0,0.0,3411.77634491373,2208.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,2238.0,0.0,3411.77634491373,2238.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,2238.0,0.0,3411.77634491373,2238.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,2148.0,0.0,3411.77634491373,2148.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,2112.0,0.0,3411.77634491373,2112.0
2043,0.0,0.0,0.0,0.0,0.0,0.0,2064.0,0.0,3411.77634491373,2064.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,2046.0,0.0,3411.77634491373,2046.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,0.0,3411.77634491373,2004.0
2046,421.203,0.0,0.0,0.0,0.0,0.0,1673.43309,0.0,3411.77634491373,2094.63609
2047,2136.24,0.0,0.0,0.0,73.1353951890036,0.0,0.0,0.0,3328.00155088279,2209.3753951890035
2048,2054.64,0.0,0.0,0.0,74.4549828178696,0.0,0.0,0.0,3242.71520172143,2129.0949828178695
2049,2152.57731958763,1087.88768041237,0.0,0.0,0.0,0.0,0.0,0.0,4139.67859422143,2152.57731958763
2050,2121.64948453608,2783.99551546392,0.0,0.0,0.0,0.0,0.0,0.0,6435.08289672143,2121.64948453608
2051,2152.57731958763,4672.94768041237,0.0,0.0,0.0,0.0,0.0,0.0,10287.9282592214,2152.57731958763
2052,2177.31958762887,4657.10041237113,0.0,0.0,0.0,0.0,0.0,0.0,14127.7075492214,2177.31958762887
2053,2195.87628865979,2864.07371134021,0.0,0.0,0.0,0.0,0.0,0.0,16489.1363242214,2195.87628865979
2054,2282.47422680412,1653.33077319588,0.0,0.0,0.0,0.0,0.0,0.0,17852.3075467214,2282.47422680412
2055,2282.47422680412,507.405773195876,0.0,0.0,0.0,0.0,0.0,0.0,18270.6636067214,2282.47422680412
2056,2338.14432989691,59.2606701030927,0.0,0.0,0.0,0.0,0.0,0.0,18319.5240292214,2338.14432989691
2057,636.7215,0.0,0.0,0.0,0.0,0.0,1710.380145,0.0,18319.5240292214,2347.101645
2058,0.0,0.0,0.0,0.0,2099.98365276804,0.0,392.714271133497,0.0,15914.0444727861,2492.697923901537
2059,0.0,0.0,0.0,0.0,2577.31958762887,0.0,0.0,0.0,12961.7883586637,2577.31958762887
2060,0.0,0.0,0.0,0.0,2542.95532646048,0.0,0.0,0.0,10048.8956593962,2542.95532646048
2061,0.0,0.0,0.0,0.0,2542.95532646048,0.0,0.0,0.0,7136.0029601288,2542.95532646048
2062,0.0,0.0,0.0,0.0,2618.55670103093,0.0,0.0,0.0,4136.51074818043,2618.55670103093
2063,0.0,0.0,0.0,0.0,2563.57388316151,0.0,0.0,0.0,1200.0,2563.57388316151
