Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,10500.0,1020.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,10500.0,1008.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,10500.0,1086.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,10500.0,1128.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,10500.0,1032.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,10500.0,1014.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,10500.0,1008.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,0.0,10500.0,1044.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,10500.0,1104.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,10500.0,1056.0
10,3.752088,0.0,0.0,0.0,0.0,0.0,1046.36047464,0.0,10500.0,1050.11256264
11,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,10500.0,1050.0
12,5.193192,0.0,0.0,0.0,0.0,0.0,1092.96260376,0.0,10500.0,1098.15579576
13,8.788008,0.0,0.0,0.0,0.0,0.0,1101.47563224,0.0,10500.0,1110.26364024
14,2.862768,0.0,0.0,0.0,0.0,0.0,1095.22311504,0.0,10500.0,1098.08588304
15,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,10500.0,1128.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,10500.0,1194.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1158.0,0.0,10500.0,1158.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,10500.0,1368.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,10500.0,1446.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,10500.0,1446.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,10500.0,1464.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,10500.0,1524.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,10500.0,1488.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,10500.0,1536.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,10500.0,1548.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,10500.0,1518.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,10500.0,1584.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,10500.0,1578.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,10500.0,1572.0
30,0.0,0.0,0.0,0.0,1938.14432989691,0.0,0.0,0.0,8279.90340217995,1938.14432989691
31,0.0,0.0,0.0,0.0,2068.72852233677,0.0,0.0,0.0,5910.22582791102,2068.72852233677
32,0.0,0.0,0.0,0.0,2027.49140893471,0.0,0.0,0.0,3587.78435146806,2027.49140893471
33,5.226552,0.0,0.0,0.0,0.0,0.0,1764.93024456,0.0,3587.78435146806,1770.15679656
34,14.375352,0.0,0.0,0.0,0.0,0.0,1732.05590856,0.0,3587.78435146806,1746.43126056
35,52.13472,0.0,0.0,0.0,0.0,0.0,1671.4293216,0.0,3587.78435146806,1723.5640416
36,37.87656,0.0,0.0,0.0,293.193647835052,0.0,1441.30168224,0.0,3251.93824856422,1772.371890075052
37,8.081448,0.0,0.0,0.0,1922.29209099656,0.0,0.0,0.0,1050.0,1930.37353899656
38,8.358912,0.0,0.0,0.0,0.0,0.0,1737.89185536,0.0,1050.0,1746.2507673599998
39,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,0.0,1050.0,1722.0
40,0.0,0.0,0.0,0.0,0.0,0.0,1788.0,0.0,1050.0,1788.0
41,0.0,0.0,0.0,0.0,0.0,0.0,1788.0,0.0,1050.0,1788.0
42,0.0,0.0,0.0,0.0,0.0,0.0,1704.0,0.0,1050.0,1704.0
43,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,0.0,1050.0,1656.0
44,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,1050.0,1710.0
45,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,1050.0,1674.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,0.0,1050.0,1626.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,1050.0,1620.0
48,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,2100.0,1590.0
49,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,2100.0,1578.0
50,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,2100.0,1578.0
