Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,6000.0,1020.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,6000.0,1008.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,6000.0,1086.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,4593.59736464396,9787.42102714895,1128.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,9787.42102714895,1032.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,9787.42102714895,1014.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,9787.42102714895,1008.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,0.0,9787.42102714895,1044.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,9787.42102714895,1104.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,9787.42102714895,1056.0
10,0.469011,0.0,0.0,0.0,0.0,0.0,1049.54505933,0.0,9787.42102714895,1050.01407033
11,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,9787.42102714895,1050.0
12,0.649149,0.0,0.0,0.0,0.0,0.0,1097.37032547,0.0,9787.42102714895,1098.01947447
13,1.098501,0.0,0.0,0.0,0.0,0.0,1108.93445403,0.0,9787.42102714895,1110.03295503
14,0.357846,0.0,0.0,0.0,0.0,0.0,1097.65288938,0.0,9787.42102714895,1098.01073538
15,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,9787.42102714895,1128.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,9787.42102714895,1194.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1158.0,0.0,9787.42102714895,1158.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,9787.42102714895,1368.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,9787.42102714895,1446.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,9787.42102714895,1446.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,9787.42102714895,1464.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,9787.42102714895,1524.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,9787.42102714895,1488.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,9787.42102714895,1536.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,9787.42102714895,1548.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,9787.42102714895,1518.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,9787.42102714895,1584.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,9787.42102714895,1578.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,9787.42102714895,1572.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,0.0,9787.42102714895,1692.0
31,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,0.0,9787.42102714895,1806.0
32,0.0,0.0,0.0,0.0,0.0,0.0,1770.0,0.0,9787.42102714895,1770.0
33,0.653319,0.0,0.0,0.0,0.0,0.0,1769.36628057,0.0,9787.42102714895,1770.01959957
34,1.796919,0.0,0.0,0.0,0.0,0.0,1744.25698857,0.0,9787.42102714895,1746.05390757
35,6.51684,0.0,0.0,0.0,0.0,0.0,1715.6786652,0.0,9787.42102714895,1722.1955052
36,4.73457,0.0,0.0,0.0,0.0,0.0,1729.4074671,0.0,9787.42102714895,1734.1420371000002
37,1.010181,0.0,0.0,0.0,0.0,0.0,1685.02012443,0.0,9787.42102714895,1686.03030543
38,1.044864,0.0,0.0,0.0,0.0,0.0,1744.98648192,0.0,9787.42102714895,1746.03134592
39,0.0,0.0,0.0,0.0,1972.50859106529,0.0,0.0,0.0,7527.96101447393,1972.50859106529
40,0.0,0.0,0.0,0.0,2048.10996563574,0.0,0.0,0.0,5181.90148911798,2048.10996563574
41,0.0,0.0,0.0,0.0,2048.10996563574,0.0,0.0,0.0,2835.84196376204,2048.10996563574
42,0.0,0.0,0.0,0.0,1951.89003436426,0.0,0.0,0.0,600.0,1951.89003436426
43,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,0.0,600.0,1656.0
44,0.0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,600.0,1710.0
45,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,600.0,1674.0
46,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,0.0,600.0,1626.0
47,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,600.0,1620.0
48,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,1200.0,1590.0
49,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,1200.0,1578.0
50,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,1200.0,1578.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1596.0,6000.0,6147.0,1596.0
52,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,6000.0,11094.0,1578.0
53,0.0,0.0,0.0,0.0,0.0,0.0,1602.0,371.134020618557,11400.0,1602.0
54,0.0,0.0,0.0,0.0,0.0,0.0,1542.0,0.0,11400.0,1542.0
55,0.0,0.0,0.0,0.0,0.0,0.0,1644.0,0.0,11400.0,1644.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,0.0,11400.0,1842.0
57,0.0995463,0.0,0.0,0.0,0.0,0.0,1793.903440089,0.0,11400.0,1794.002986389
58,2.275713,0.0,0.0,0.0,0.0,0.0,1791.79255839,0.0,11400.0,1794.06827139
59,7.10592,0.0,0.0,0.0,0.0,0.0,1853.1072576,0.0,11400.0,1860.2131776
60,5.89941,0.0,0.0,0.0,0.0,0.0,1824.2775723,0.0,11400.0,1830.1769823
61,1.324473,0.0,0.0,0.0,0.0,0.0,1828.71526119,0.0,11400.0,1830.03973419
62,0.593799,0.0,0.0,0.0,0.0,0.0,1889.42401497,0.0,11400.0,1890.01781397
63,0.0,0.0,0.0,0.0,0.0,0.0,1830.0,0.0,11400.0,1830.0
64,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,11400.0,1878.0
65,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,0.0,11400.0,1878.0
