P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
0.0;0.0;0.0;0.0;0;0;0;0;0;0;20234455;0;0.0;750000.0;0.0;750000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05360235037150026;0.0;0.0;0.02871379964400894;0.0;0.0;1382128.9870600007;1382128.9870600007;0.0;0.0;0.0;0.0;0.0;771342.4246800005;771342.4246800005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1382128.9870600007;-771342.4246800005;-1382128.9870600007;-771342.4246800005;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;3.0;3.0;1.0;0;0;0;0;831361;6477;19508527;1129331;837838.0;1350000.0;0.0;1350000.0;18000.0;0.0;18000.0;300000.0;0.0;300000.0;0.0;0.0;0.0;0.14528577688830732;0.05424595168845693;0.14529062941078358;0.05855517618248723;0.029926692222879588;0.05836113351370689;90041.34768000004;1343078.7527;1303512.0998800003;39566.652820000025;-5.397500000000001;0.0;-5.397500000000001;32107.560539999995;785319.1080600026;743306.799070001;42012.308989999976;215.83523;0.0;215.83523;279.0;4.0976057425083745;0.0;0.0;-1253037.40502;-753211.5475200026;-1253042.8025200001;-752995.7122900026;0.0;1.0;0.0;0.0;0.0;0.0;0.9922693885930216;0.007730611406978437;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;3.0;6.0;2.0;0;0;0;0;1561593;4318;18870894;2106662;1565911.0;1950000.0;0.0;1950000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;0.12551818380201238;0.05511178717254724;0.1255193054182331;0.059885460557794534;0.031073475592762224;0.05981873477799609;169387.9694899998;1308895.9349500008;1234231.1397400028;74664.79520999991;-2.3317200000000002;0.0;-2.3317200000000002;60378.87843000002;796877.7194799989;718620.4347999992;78257.28468000006;138.71574999999999;0.0;138.71574999999999;260.0;7.696767642769964;0.0;0.0;-1139507.965460001;-736498.8410499989;-1139510.297180001;-736360.1252999989;0.0;1.0;0.0;0.0;0.0;0.0;0.9972424997333821;0.0027575002666179625;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;3.0;9.0;3.0;0;0;0;0;2207275;3725;18307129;2968565;2211000.0;2550000.0;0.0;2550000.0;54000.0;0.0;54000.0;900000.0;0.0;900000.0;0.0;0.0;0.0;0.12114811441838817;0.056150242666156785;0.1211487027244804;0.061127018664026034;0.03216731426406837;0.06108599949988884;238593.54702999978;1278904.5860299994;1173809.7102599996;105094.87576999994;-1.72686;0.0;-1.72686;85337.04305000008;806898.0557099995;696828.6463699987;110069.40934000006;120.40391;0.0;120.40391;245.0;10.879200149267492;0.0;0.0;-1040311.0389999996;-721561.0126599994;-1040312.7658599997;-721440.6087499994;0.0;1.0;0.0;0.0;0.0;0.0;0.9983152419719584;0.0016847580280416102;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;6.0;6.0;1.0;0;0;0;0;1594904;12699;18841773;2164675;1607603.0;2700000.0;0.0;2700000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;0.14951643908660087;0.0571680059888239;0.14952139751935398;0.059366120139240655;0.03109291008036312;0.05916784233030935;171311.1494899998;1307580.0984900002;1232547.480790002;75032.61770000002;-10.5825;0.0;-10.5825;61621.36711999999;797997.6722299992;717534.1248099998;80463.54742;423.17301000000003;0.0;423.17301000000003;267.0;7.860950644965997;0.0;0.0;-1136268.9490000005;-736376.3051099993;-1136279.5315000005;-735953.1320999992;0.0;2.0;0.0;0.0;0.0;0.0;0.9921006616683348;0.007899338331665218;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;6.0;12.0;2.0;0;0;0;0;2897148;12699;17704881;3905114;2909847.0;3900000.0;0.0;3900000.0;72000.0;0.0;72000.0;1200000.0;0.0;1200000.0;0.0;0.0;0.0;0.13119963888730116;0.0592316231000602;0.13120133730603212;0.06135120087560582;0.033273088688015234;0.06124307186891753;307333.53455999936;1248088.8571499996;1113800.5450700002;134288.3120799999;-6.5611500000000005;0.0;-6.5611500000000005;111852.09164000004;818210.4730599999;673681.4091400002;144529.06392000004;417.71243999999996;0.0;417.71243999999996;242.0;14.279440918802603;0.0;0.0;-940755.3225900002;-706358.3814199999;-940761.8837400002;-705940.6689799998;0.0;2.0;0.0;0.0;0.0;0.0;0.9956358530190763;0.004364146980923739;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;6.0;18.0;3.0;0;0;0;0;4001774;4233;16740445;5359141;4006007.0;5100000.0;0.0;5100000.0;108000.0;0.0;108000.0;1800000.0;0.0;1800000.0;0.0;0.0;0.0;0.12898941887684007;0.06179873640281306;0.12898946663227154;0.06331640206592194;0.035336445081456926;0.06328984208677162;419410.3316699998;1200937.024399999;1015950.8969100009;184986.1274899997;-0.25398;0.0;-0.25398;154394.08106999987;834562.5486899979;636538.4157599999;198024.13293000014;141.25520999999998;0.0;141.25520999999998;222.0;19.723913104681007;0.0;0.0;-781526.6927299993;-680168.467619998;-781526.9467099992;-680027.212409998;0.0;2.0;0.0;0.0;0.0;0.0;0.9989433368438947;0.0010566631561053188;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;9.0;9.0;1.0;0;0;0;0;2289348;8466;18235440;3089308;2297814.0;4050000.0;0.0;4050000.0;54000.0;0.0;54000.0;900000.0;0.0;900000.0;0.0;0.0;0.0;0.15462602174733175;0.06022413226216708;0.15462675718221475;0.06031511162651786;0.03221164818266796;0.060221031466012015;243280.2256799997;1275302.858249999;1169714.2064899993;105588.65176000001;-2.24349;0.0;-2.24349;88405.00696000009;808786.4691900006;694148.7189599992;114637.75023000008;286.99739999999997;0.0;286.99739999999997;255.0;11.283720924363857;0.0;0.0;-1032022.6325699992;-720381.4622300004;-1032024.8760599992;-720094.4648300004;0.0;3.0;0.0;0.0;0.0;0.0;0.9963156286801281;0.0036843713198718435;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;9.0;18.0;2.0;0;0;0;0;4077485;12699;16674337;5476107;4090184.0;5850000.0;0.0;5850000.0;108000.0;0.0;108000.0;1800000.0;0.0;1800000.0;0.0;0.0;0.0;0.13712038421086742;0.06375171539331596;0.137121592503367;0.062797258334923;0.03536818700112712;0.06272033297759802;423525.5957699998;1198112.9575500006;1012357.6557900009;185755.30176000006;-6.5611500000000005;0.0;-6.5611500000000005;157272.12366999986;836306.3248799986;634025.4083199998;202280.9165599998;417.71243999999996;0.0;417.71243999999996;227.0;20.097076902803664;0.0;0.0;-774587.3617800009;-679034.2012099987;-774593.9229300008;-678616.4887699988;0.0;3.0;0.0;0.0;0.0;0.0;0.996895249700258;0.0031047502997420167;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;9.0;27.0;3.0;0;0;0;0;5519765;4233;15415161;7364812;5523998.0;7650000.0;0.0;7650000.0;162000.0;0.0;162000.0;2700000.0;0.0;2700000.0;0.0;0.0;0.0;0.13696319370472673;0.06798037932995576;0.13696322833699723;0.06544891509823794;0.03832219910009194;0.06542965378380661;569245.3303400005;1138040.2995600007;885140.6537599999;252899.6458;-0.25398;0.0;-0.25398;213057.4678300002;857228.016039999;585322.1598300008;271905.85620999994;141.25520999999998;0.0;141.25520999999998;204.0;27.20577554311152;0.0;0.0;-568794.9692200002;-644170.5482099988;-568795.2232000002;-644029.2929999988;0.0;3.0;0.0;0.0;0.0;0.0;0.9992337071809222;0.0007662928190777766;negative;negative;negative;negative;Economic Dispatch Optimisation
