P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
1.0;1.5;3.0;2.0;173168;0;0;0;24708;0;20041694;0;197876.0;1055000.0;80000.0;975000.0;21000.0;3000.0;18000.0;333000.0;33000.0;300000.0;0.0;0.0;0.0;0.38942737939064126;0.05480234994957333;0.38942737939064126;0.09768671283455524;0.029391884638479825;0.09768671283455524;12250.445840000006;1370232.4650000029;1370232.4650000029;0.0;0.0;0.0;0.0;7444.5707500000035;764095.3105000001;764095.3105000001;0.0;0.0;0.0;0.0;8.0;0.9752897163862474;0.0;0.0002964937560972166;-1322839.0996100032;-770517.327810001;-1322840.9701100031;-770396.289940001;0.3;0.5;1.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;1.5;6.0;4.0;173168;0;0;0;49598;0;20019972;0;222766.0;1655000.0;80000.0;1575000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;0.5631257504197156;0.057122137017548376;0.5631257504197156;0.1649450125400218;0.030214672800501982;0.1649450125400218;14159.205990000019;1368567.021660002;1368567.021660002;0.0;0.0;0.0;0.0;8457.258060000002;763211.55026;763211.55026;0.0;0.0;0.0;0.0;8.0;1.0979673581460045;0.0;0.0002964937560972166;-1292538.9038600014;-779064.3384700005;-1292538.9687800012;-779028.2651200006;0.3;0.5;1.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;3.0;6.0;2.0;173168;0;0;0;49597;0;20019973;0;222765.0;2030000.0;80000.0;1950000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;0.6608449566193002;0.058197448148433084;0.6608449566193002;0.1649457529840437;0.030214673248516608;0.1649457529840437;14160.144210000019;1368566.2060500016;1368566.2060500016;0.0;0.0;0.0;0.0;8457.25004;763211.5623000001;763211.5623000001;0.0;0.0;0.0;0.0;8.0;1.0979624293536476;0.0;0.0002964937560972166;-1284537.9700800006;-782050.9444700006;-1284540.3019800007;-781912.1616000006;0.3;1.0;1.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;3.0;12.0;4.0;1716529;33368;0;0;123401;0;18458560;0;1839930.0;3230000.0;80000.0;3150000.0;75000.0;3000.0;72000.0;1233000.0;33000.0;1200000.0;0.0;0.0;0.0;0.13260667761745834;0.05930392210068256;0.13260667761745834;0.03889969184304326;0.029687058465359965;0.03889969184304326;111946.46237999981;1274214.8123000022;1274214.8123000022;0.0;0.0;0.0;0.0;68767.54951;704991.5204000011;704991.5204000011;0.0;0.0;0.0;0.0;10.0;9.06863292097348;9.06863292097348;0.0029961282356627734;-1041578.7166100013;-683020.1545800024;-1041578.8486700013;-682947.1690700025;0.3;1.0;0.9809314491081476;0.01906855089185249;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;4.5;9.0;2.0;173168;0;0;0;74487;0;19998265;0;247655.0;3005000.0;80000.0;2925000.0;57000.0;3000.0;54000.0;933000.0;33000.0;900000.0;0.0;0.0;0.0;0.8777045543126297;0.061591500157924466;0.8777045543126297;0.21868496633676102;0.03103720269730867;0.21868496633676102;16068.315100000025;1366901.5303500013;1366901.5303500013;0.0;0.0;0.0;0.0;9469.918029999966;762328.3461400005;762328.3461400005;0.0;0.0;0.0;0.0;8.0;1.220640071113405;0.0;0.0002964937560972166;-1250792.493040001;-792192.0211800018;-1250797.980850001;-791838.1061200018;0.3;1.5;1.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;4.5;18.0;4.0;1716529;33368;0;0;173179;0;18415134;0;1889708.0;4805000.0;80000.0;4725000.0;111000.0;3000.0;108000.0;1833000.0;33000.0;1800000.0;0.0;0.0;0.0;0.19184378633068278;0.06499993668294625;0.19184378633068278;0.05630567228484543;0.031327603041216324;0.05630567228484543;115763.96632999975;1270884.7320500014;1270884.7320500014;0.0;0.0;0.0;0.0;70790.07200000007;703227.1506100015;703227.1506100015;0.0;0.0;0.0;0.0;9.0;9.31397834690828;9.31397834690828;0.0029961282356627734;-990328.1303900008;-697600.1776000019;-990328.3272500008;-697491.1524900019;0.3;1.5;0.9809314491081476;0.01906855089185249;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;12.0;2.0;173168;0;0;0;99375;0;19976532;0;272543.0;3980000.0;80000.0;3900000.0;75000.0;3000.0;72000.0;1233000.0;33000.0;1200000.0;0.0;0.0;0.0;1.054962761968901;0.06498447383720315;1.054962761968901;0.26261070734809033;0.03185947910162822;0.26261070734809033;17977.994620000034;1365234.212670002;1365234.212670002;0.0;0.0;0.0;0.0;10482.482059999957;761444.1348800004;761444.1348800004;0.0;0.0;0.0;0.0;8.0;1.3433078552884483;0.0;0.0002964937560972166;-1220027.415760001;-801302.20713;-1220033.9770900009;-800884.4275699999;0.3;2.0;1.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;6.0;24.0;4.0;1716529;33368;0;0;222951;0;18371688;0;1939480.0;6380000.0;80000.0;6300000.0;147000.0;3000.0;144000.0;2433000.0;33000.0;2400000.0;0.0;0.0;0.0;0.24804095490032047;0.07069248447378;0.24804095490032047;0.0728184094248617;0.032967136829713646;0.0728184094248617;119578.39925999971;1267554.7971600005;1267554.7971600005;0.0;0.0;0.0;0.0;72812.10509999999;701462.0560000018;701462.0560000018;0.0;0.0;0.0;0.0;9.0;9.55929420008894;9.55929420008894;0.0029961282356627734;-945346.3620499984;-710188.372489999;-945346.6185499984;-710046.1775999991;0.3;2.0;0.9809314491081476;0.01906855089185249;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;10.5;21.0;2.0;173168;0;0;0;174041;0;19911372;0;347209.0;6905000.0;80000.0;6825000.0;129000.0;3000.0;126000.0;2133000.0;33000.0;2100000.0;0.0;0.0;0.0;1.4342574643695236;0.0751570527847101;1.4342574643695236;0.35660240384520775;0.0343247736808598;0.35660240384520775;23704.936400000082;1360236.3193200019;1360236.3193200019;0.0;0.0;0.0;0.0;13519.873389999995;758793.4251300005;758793.4251300005;0.0;0.0;0.0;0.0;8.0;1.7113210653982927;0.0;0.0002964937560972166;-1142034.6175400002;-824270.0280000021;-1142041.1788700002;-823852.2484400021;0.3;3.5;1.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
5.0;1.5;3.0;2.0;873677;252;0;0;24891;0;19362018;0;898568.0;1375000.0;400000.0;975000.0;33000.0;15000.0;18000.0;465000.0;165000.0;300000.0;0.0;0.0;0.0;0.11648810337506907;0.0545953279936076;0.11648810337506907;0.0300390635385325;0.028799783292819976;0.0300390635385325;54204.58933999999;1329532.6905500002;1329532.6905500002;0.0;0.0;0.0;0.0;33504.683050000014;738816.7323499987;738816.7323499987;0.0;0.0;0.0;0.0;8.0;4.428855090429145;4.428855090429145;0.0002992637112772388;-1240169.7660400006;-719170.0650600002;-1240171.6376200006;-719048.6244700002;1.7;0.5;0.9997116470559966;0.0002883529440034602;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
5.0;1.5;6.0;4.0;873677;252;0;0;49780;0;19340312;0;923457.0;1975000.0;400000.0;1575000.0;51000.0;15000.0;36000.0;765000.0;165000.0;600000.0;0.0;0.0;0.0;0.16574612663851693;0.05691271297530644;0.16574612663851693;0.048087161524935244;0.029621815661037453;0.048087161524935244;56114.266309999955;1327867.6125700003;1327867.6125700003;0.0;0.0;0.0;0.0;34517.27009999996;737933.6957099991;737933.6957099991;0.0;0.0;0.0;0.0;8.0;4.551527803396546;4.551527803396546;0.0002992637112772388;-1209881.7561500017;-727689.4974999997;-1209881.8221500015;-727653.0214299997;1.7;0.5;0.9997116470559966;0.0002883529440034602;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
