P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
2.0;6.0;6.0;1.0;6091689;870695;0;408602;2106400;63269;10962981;1577730;8669960.0;2860000.0;160000.0;2700000.0;42000.0;6000.0;36000.0;666000.0;66000.0;600000.0;0.0;0.0;0.0;0.02870680116853529;0.04713348225388545;0.026532964649254826;0.009681426507936365;0.021001841196044105;0.008166960930762768;580215.6829799996;938568.0916099994;870549.5914199993;68018.50019000005;25021.25078;21402.14271999999;3619.10806;308678.8303900005;484675.58665999863;424564.99312999856;60110.59353000004;17431.772200000014;15068.028840000008;2363.743360000001;361.0;43.401966779167495;36.216028117303026;0.0028307442335285854;-358352.40862999985;-175996.75626999815;-333331.15784999984;-158564.98406999814;0.7;2.0;0.8264415371294966;0.11812463081601295;0.0554338320544904;0.0;0.9708393307919319;0.029160669208068143;negative;negative;negative;negative;Economic Dispatch Optimisation
2.0;6.0;6.0;1.0;6294878;614833;0;461276;654656;0;12117909;122044;7410810.0;2860000.0;160000.0;2700000.0;42000.0;6000.0;36000.0;666000.0;66000.0;600000.0;0.0;0.0;0.0;0.02711286137542967;0.05048501839623972;0.02484267119881143;0.005620326928842761;0.020725013656789644;0.003872159090329479;428753.47503000026;1015566.1475999998;1011217.10038;4349.0472199999995;22335.36019;22335.36019;0.0;260280.35245000117;473304.6631499987;469333.2169699989;3971.4461799999995;17199.421770000004;17199.421770000004;0.0;109.0;36.79192111706704;36.21789537847059;0.0028093286105160295;-509814.61657999916;-224395.23420999746;-484793.36579999916;-206963.46200999746;0.7;2.0;0.8540074755253265;0.08341257419121755;0.06257995028345593;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;6.0;24.0;4.0;6031679;1291356;0;48011;6141815;5745;7263037;5644059;12227250.0;6460000.0;160000.0;6300000.0;150000.0;6000.0;144000.0;2466000.0;66000.0;2400000.0;0.0;0.0;0.0;0.053481535823325245;0.05408827788835567;0.05332646055245649;0.024721646042371023;0.026517066166470076;0.024599285491467976;948217.1586100006;748058.4104000004;527733.5538;220324.85660000012;2517.30815;2367.2940399999993;150.01411;460624.58379999845;494399.80929999845;283136.80384999997;211263.00545000014;1986.2561599999997;1788.3082499999998;197.94790999999998;256.0;64.448383296936;37.98699633870908;0.002977376585114812;200158.74821000022;-33775.2255;202676.05636000028;-31788.96934000001;0.7;2.0;0.8182934959298857;0.17519304587164428;0.006513458198470068;0.0;0.9990654828907729;0.0009345171092270755;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;6.0;24.0;4.0;6289270;1036433;0;45320;1246446;0;11572241;361369;7581036.0;6460000.0;160000.0;6300000.0;150000.0;6000.0;144000.0;2466000.0;66000.0;2400000.0;0.0;0.0;0.0;0.06584009305749118;0.06431098822108089;0.06563640025915705;0.020062083591869322;0.02563939928149375;0.019890727960172588;474368.73627;983584.0994099994;968765.3612799997;14818.73813;2050.0727600000005;2050.0727600000005;0.0;282664.31083000096;460371.00306999905;448494.40955999907;11876.59351;1724.6143;1724.6143;0.0;51.0;39.895260406326514;38.18927431528517;0.0029784613321806237;-273689.6741300004;-211735.4984699975;-271172.3659800004;-209749.2423099975;0.7;2.0;0.853242487508179;0.14060911219514577;0.006148400296675237;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;18.0;18.0;1.0;6086118;1225989;0;58927;5163345;13928;8121445;4615748;11322318.0;8260000.0;160000.0;8100000.0;114000.0;6000.0;108000.0;1866000.0;66000.0;1800000.0;0.0;0.0;0.0;0.061977721395161986;0.05999543814782424;0.06177287230138857;0.021108385965778322;0.02460952597391544;0.020931859449472987;858016.7101299993;792825.4899700003;611757.0452299991;181068.44473999992;3079.1754599999995;2912.7540499999996;166.42141;425200.24780999956;489541.47861999914;316052.9077299994;173488.57088999983;2653.44653;2176.35969;477.08684000000005;287.0;59.556418503077225;37.95769846594313;0.0029729335131750854;65191.22015999898;-64341.23080999957;68270.39561999904;-61687.784279999556;0.7;6.0;0.8256803590920894;0.16632524012234917;0.007994400785561429;0.0;0.9973097806509335;0.002690219349066584;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;18.0;18.0;1.0;6294878;1020238;0;55907;1220889;0;11590597;351222;7571674.0;8260000.0;160000.0;8100000.0;114000.0;6000.0;108000.0;1866000.0;66000.0;1800000.0;0.0;0.0;0.0;0.07600075908800381;0.06845956042469187;0.07574057755105852;0.015441910698695795;0.023835834546988472;0.015230676547083034;470283.27884000004;985964.0944999997;972542.1349099996;13421.959589999999;2615.371720000001;2615.371720000001;0.0;281702.3398100011;460806.66802999884;449383.70629999886;11422.961729999997;2123.3475399999998;2123.3475399999998;0.0;67.0;39.789647276818215;38.134367045572674;0.0029741569029505827;-322542.2111300003;-207839.13880999805;-319463.0356700003;-205185.69227999804;0.7;6.0;0.8540033045616598;0.13841199518709954;0.007584700251240567;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;18.0;72.0;4.0;6176691;1142138;0;52207;11114703;52565;2491103;11445105;17396166.0;19060000.0;160000.0;18900000.0;438000.0;6000.0;432000.0;7266000.0;66000.0;7200000.0;0.0;0.0;0.0;0.10115842377530891;0.0931221651250394;0.10096099464778138;0.042820584131492076;0.041256730583131576;0.04265695916845095;1395000.1966900004;540866.3108800008;111441.85578000014;429424.4550999997;4559.632189999999;2692.3214299999995;1867.3107599999998;660685.6612599988;525605.0791299996;96606.57065000011;428998.5084800001;3778.9239000000007;1937.1693999999998;1841.7545000000002;155.0;91.54334723049435;38.039648183764285;0.0029756665228363997;854133.8858099995;135080.58212999918;858693.5179999996;138859.50602999923;0.7;6.0;0.8379678243329703;0.15494945350965592;0.007082722157373807;0.0;0.9952929400458554;0.004707059954144559;positive;positive;positive;positive;Economic Dispatch Optimisation
2.0;18.0;72.0;4.0;6290468;1035235;0;45320;1570414;0;11269364;708427;7906202.0;19060000.0;160000.0;18900000.0;438000.0;6000.0;432000.0;7266000.0;66000.0;7200000.0;0.0;0.0;0.0;0.18436175396889654;0.11280379743587558;0.18416643864086524;0.05554455757426475;0.04012841316153532;0.05538024945100966;516204.33107;958066.3358499996;929797.37223;28268.963619999995;2050.0727600000005;2050.0727600000005;0.0;295927.5368400009;459204.47553999914;436140.838439999;23063.637100000007;1724.6143;1724.6143;0.0;21.0;41.616740123089144;38.238863821093396;0.0029784613321806237;-24661.979810000805;-229677.54228999873;-20102.34762000083;-225898.61838999874;0.7;6.0;0.8534050158302314;0.14044658387309333;0.006148400296675237;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
7.0;6.0;6.0;1.0;8735500;2953968;7519577;6594639;2242639;1314622;8271747;1062497;18887400.0;3260000.0;560000.0;2700000.0;57000.0;21000.0;36000.0;831000.0;231000.0;600000.0;0.0;0.0;0.0;0.014165219049609178;0.040271341365622576;-0.004447833731919217;0.004185245849247519;0.016128397397870833;-0.007539817388810337;764973.0241799983;738303.1910900009;691340.7808300008;46962.41026;466718.2983800006;386858.59352000005;79859.70486;414247.9645399994;363254.3489199992;322350.07997;40904.268950000005;294003.44086999947;244877.70422999962;49125.73663999999;592.0;58.11998676460857;54.97918969224651;0.001357904916887948;26669.83308999741;50993.61562000017;493388.1314699979;344997.05648999964;2.3;2.0;0.3385369313932073;0.11447853725072746;0.2555696698192398;0.2914148615368255;0.6304398243480026;0.36956017565199745;positive;positive;positive;positive;Economic Dispatch Optimisation
7.0;6.0;6.0;1.0;8796130;2875335;7513927;6618312;1308012;1278061;9083460;43967;18000515.0;3260000.0;560000.0;2700000.0;57000.0;21000.0;36000.0;831000.0;231000.0;600000.0;0.0;0.0;0.0;0.012962533341734755;0.043548264951560556;-0.006499822728481666;0.002740983318360547;0.016441629048731813;-0.009547951980958303;647874.7168599996;801854.5028900004;800311.5574200006;1542.94547;465098.97880000045;385130.13757000037;79968.84122999992;380117.17718000035;355505.9235799997;354043.5227899997;1462.4007900000001;293673.1420199999;245822.74644999977;47850.39557000003;431.0;53.492909800807354;53.38861652267792;0.001355813601678502;-90428.47423000133;16862.828260001144;376289.8241499992;310866.2691300006;2.3;2.0;0.3408863316677327;0.11143109531871859;0.2564868981600471;0.2911956748535017;0.5057908264770561;0.49420917352294386;positive;positive;negative;positive;Environmental Dispatch Optimisation
7.0;6.0;24.0;4.0;8524440;6122895;5055696;6100916;4183670;1412816;6668923;190112;20221842.0;6860000.0;560000.0;6300000.0;165000.0;21000.0;144000.0;2631000.0;231000.0;2400000.0;0.0;0.0;0.0;0.026122204831852052;0.05208126037518781;0.01015421682017736;0.007788165592041755;0.01839937647542173;-0.0025915654289844236;820155.7120099993;648050.7396799996;640420.5265899997;7630.21309;428682.6948600011;351774.54317;76908.15168999996;475248.81918999925;272164.13357;265834.46429;6329.66928;278658.2168500004;226686.5667100002;51971.65013999999;233.0;67.2787241082655;66.61172160764369;0.001701504997131172;334235.2199199989;184470.3769499993;768705.6181099998;463285.2267699999;2.3;2.0;0.33035411210540777;0.23728521066951502;0.23643344175214745;0.19592723547292978;0.7475530180902802;0.25244698190971976;positive;positive;positive;positive;Environmental Dispatch Optimisation
7.0;6.0;24.0;4.0;8533211;6215290;5058342;5997096;6695116;1531018;4321309;3068921;22756441.0;6860000.0;560000.0;6300000.0;165000.0;21000.0;144000.0;2631000.0;231000.0;2400000.0;0.0;0.0;0.0;0.02735849478736698;0.044495935673438694;0.012977437741382492;0.01063123647151371;0.018166443931247077;0.0014024091975884956;1128633.3115599991;485920.4920900004;353041.31502000033;132879.17707000003;434470.39819000085;347518.58895;86951.80923999999;575613.0808099974;290778.44223999995;172349.3842899997;118429.05795000002;278814.84982000064;222714.8529600001;56099.99686;342.0;80.62114750843756;68.90470962379267;0.0017132569270583416;642712.8194699987;284834.63856999745;1077183.2176599996;563649.488389998;2.3;2.0;0.33069412387000297;0.24086593911107912;0.23241009831871018;0.19602983870020774;0.8138836542171571;0.18611634578284283;positive;positive;positive;positive;Economic Dispatch Optimisation
7.0;18.0;18.0;1.0;8132735;6445836;5599434;5625998;6028027;1905810;5331002;2510595;21692570.0;8660000.0;560000.0;8100000.0;129000.0;21000.0;108000.0;2031000.0;231000.0;1800000.0;0.0;0.0;0.0;0.03143144830639876;0.0508753868905049;0.016225318946511042;0.008803552767198108;0.017044314553333276;-0.000899456363879201;1039052.7489999995;546278.3368600013;437457.8701100005;108820.46675;437919.9493400005;329124.5700300003;108795.37930999992;534920.9059199984;307846.41902;210829.9157699996;97016.50324999998;279436.08571000036;208800.09631999987;70635.98939000009;440.0;74.96929124478856;66.02360534061293;0.0016935170396206265;492774.41213999817;227074.48689999845;930694.3614799988;506510.5726099988;2.3;6.0;0.31517338608277173;0.24979984694622767;0.21802810982466558;0.216998657146335;0.7597870992308009;0.24021290076919907;positive;positive;positive;positive;Economic Dispatch Optimisation
7.0;18.0;18.0;1.0;8199405;6326449;5608414;5669749;3911220;1829203;7237878;151653;19609577.0;8660000.0;560000.0;8100000.0;129000.0;21000.0;108000.0;2031000.0;231000.0;1800000.0;0.0;0.0;0.0;0.0307821415749524;0.05750513446225863;0.014124268932859424;0.0062050301487312975;0.017381111826064135;-0.004493873923845598;781362.9653699995;682352.46666;677355.25937;4997.207289999999;433663.43396000104;332282.0523200004;101381.38163999996;453537.8175000003;291551.8945200002;286529.1986400002;5022.695880000001;278530.37296;210554.22706999996;67976.14589;318.0;64.11554496724241;63.63080118120518;0.001687393178936498;235084.6285099982;145691.39848000032;673004.5778499988;425127.4841900006;2.3;6.0;0.31775692133515493;0.24517302867999197;0.21972350273990285;0.21734654724495028;0.6813470017801824;0.3186529982198176;positive;positive;positive;positive;Environmental Dispatch Optimisation
7.0;18.0;72.0;4.0;8583940;9950742;1406889;5862419;9859164;3899340;1325354;6158632;28204863.0;19460000.0;560000.0;18900000.0;453000.0;21000.0;432000.0;7431000.0;231000.0;7200000.0;0.0;0.0;0.0;0.05906807060171509;0.08396432753100776;0.04417337764893164;0.021638842592205117;0.030341335307470813;0.01210414242604203;1437503.4411400005;324379.68532000005;65258.33802999996;259121.34729000003;557725.61486;348817.6506399999;208907.96421999997;703282.0613399977;290970.8319000001;53373.111730000004;237597.72017000013;357022.90269000124;217191.9481800001;139830.95451000004;191.0;97.64068029911984;77.68610623161472;0.0021530779519439674;1113123.7558200005;412311.2294399976;1670849.3706800002;769334.1321299989;2.3;6.0;0.3326594065491422;0.38562803659434064;0.22719040737498347;0.05452214948153367;0.716586919624401;0.283413080375599;positive;positive;positive;positive;Economic Dispatch Optimisation
7.0;18.0;72.0;4.0;8594996;9387902;1406057;6414992;4820588;3344686;6007246;394016;23175262.0;19460000.0;560000.0;18900000.0;453000.0;21000.0;432000.0;7431000.0;231000.0;7200000.0;0.0;0.0;0.0;0.06395383345030448;0.09882405809741014;0.04660508707752075;0.01903562804389492;0.03185385880390701;0.007372164736847287;877613.6983700003;601737.9909199999;586707.9324399999;15030.058480000002;533774.4627600008;371532.41741999984;162242.04534000016;501771.60749999806;254043.1126700001;241027.60618000006;13015.506489999998;358853.5290600013;238624.66408;120228.86498000009;113.0;71.02420223678115;69.99621757049698;0.002088980064284743;553234.0130500003;210800.77559999796;1110959.6279100003;567823.6782899993;2.3;6.0;0.3330884224804833;0.36381651225682643;0.24860506805412366;0.05448999720856658;0.5903767589428107;0.4096232410571893;positive;positive;positive;positive;Environmental Dispatch Optimisation
